"Reservations","Reservations"
"Clean Reservations","Clean Reservations"
"Quantity","Quantity"
"Stock","Stock"
"SKU","SKU"
"Reservation ID","Reservation ID"
"Metadata","Metadata"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure to delete selected Reservations?","Are you sure to delete selected Reservations?"
"Delete Reservations","Delete Reservations"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) haven\'t been deleted. Please see server logs for more details.","A total of %1 record(s) haven\'t been deleted. Please see server logs for more details."
"Couldn't clean up reservations. Please see server logs for more details","Couldn't clean up reservations. Please see server logs for more details"
